rank	docno	pre	text	post	source
25	HjkvoI_46_0		After I finish talking to someone I will repeat the last thing I said to them under my breath 3-5 times to make sure I said it correctly.	Sometimes I don't make it until they're out of earshot and it seriously weirds people out.	retrieval
26	6mD5qO_4_1	How long did it take to become natural?	"I ask myself ""is this appropriate to say"" whenever I remember (which tends to be when I'm NOT excitedly and enthusiastically socializing)."	I still think it sounds right, and say it.	retrieval
29	YkA5tJ_437_0		(33,F) I have a bad habit of interrupting someone speaking when I relate to something they've said.	On the other hand, when I stay silent (it's what I'm working on) while they talk and try to keep a mental list of points they make to refer to when it's my turn to talk, all points evaporate.	retrieval
30	gMqaCD_108_0		Every single one, but mostly when I'm speaking to only one person, or if I'm part of a group.	Also, crowds.	retrieval
31	pmU8VS_219_0		I'm guilty of this, but generally I'm just thinking out loud and by the time I'm done with the thought I've moved on to other things.	I'm sorry and I'm working on it.	retrieval
32	MnSeqO_422_1	Me too!	Sometimes (at least once a day) I'll be in the middle of a sentence and then I just pause, trying to think of the word, it usually becomes awkward		retrieval
33	lOYU1S_271_1	I do what you suggest, shake my head and say no, in other words I cut them off.	Maybe you'd consider it rude because I do it the moment I realize what I'm about to hear.	If you read OP she states that people make her mad by either cutting her off or being rude.	retrieval
35	ymvhzy_183_26	This usually results in my not saying, or doing anything during the first date.	"I actually have to remind myself to say things, and I often feel like there isn't the ""right time"" to say them."	In hindsight I some of the dates were initially really into me, but they lost interest because I didn't do anything about it.	retrieval
37	HcPCbS_118_8	I've got a separate office now and it's WONDERFUL because almost nobody interrupts me.	The only real interruption I get is because I'm tucked under the stairs now and if there's a class in the conference room nearby, they all thunder down at once, but I'll take that over my previous location.		retrieval
38	CAm8mr_145_0		How much and how loud I talk, occasionally interrupting people as well.	I'm a pretty self aware and open person, so those who really know me know I am aware of the tendency.	retrieval
39	lmHgoC_472_1	Mmm, that would drive me nuts.	I have to pause every now and then to think, otherwise my writing deteriorates into a gabbling and tedious stream of conciousness; like the crazy guy who sometimes sits next to you on a bus.	I do find stream of conciousness writing enormously helpful for mental health, though.	retrieval
41	0HuQQi_115_3	"or because I'm going out for lunch and the ""correct"" time would be right in the middle of lunch hour (I'd rather avoid that traffic if I can)."	I also delay if I'm in the middle of something.	I really don't think that management cares or keeps track of all this (aside from making sure you take your lunch anyway).	retrieval
42	tIg8Wo_619_1	I know the feeling.	It's hard to keep up a conversation sometimes, because by the time I've planned out my response and considered all their possible responses in turn, the moment has passed.		retrieval
43	RlZ7Z6_3_10	My only idea is see if you can flex the ENTJ with in without being an asshole.	I interrupt people and make them go at my pace.	I haven't been able to master that, but it does come out from time to time!	retrieval
44	jC14T5_490_13	Because of the above procrastination, I even procrastinate my sleep.	"I find myself saying ""shit, I haven't done anything all day, I should work on something I was supposed to do earlier so I can still be productive,"" not doing that, and saying it again an hour later."	"I always feel like I ""deserve"" to get something done, no matter how late it is."	retrieval
46	4aECCK_264_1	Just not talking and try not to draw attention.	Half time when talking I'll say something that I regret whether it's a minor mistake or not and obsess over it.	It's an uncomfortable feeling and you never feel more alone.	retrieval
47	6mD5qO_72_3	I normally do re-read before sending anything.	When I'm talking, I do think about it before talking, but it doesn't happen all the time.	I will take other people into consideration more often.	retrieval
48	CkAzwt_82_1	I also talk to myself to calm down.	Sometimes when I'm working through a project there are too many thoughts running through my head, so I talk my way through it to stay focused.	It's also really helpful to take breaks.	retrieval
49	RCnnw3_408_1	When I'm reflecting back on embarrassing events that  happened to me I'll unconsciously begin to say things out loud.	"It's never been noticable to others because it mostly happens when I'm alone, but I'll have moments where I'm like ""Why the fuck am I talking?"""		retrieval
50	RKcMOR_340_1	The most annoying thing about this is that some people don't seem to understand that they can google words for themselves.	I do it all the time, just so I don't have to derail the conversation!	It's fine with me if I'm talking to someone in person and they ask me, but I get kind of mad when people ask me the definition of something when we're talking online.	retrieval
37	HkQAFU_226_1	Thats actually a really good Idea.	I think they could make it like the same way they did it with the Stats bar.		random
38	gr20Wq_553_8	I'm deleting all of it.	That's the fourth time today one of you has twisted and bastardized my own thoughts and opinions to suit your own.	You guys are just too much.	random
39	QZdHvI_304_0		Developer, and usually I play while waiting for things to load/compile because my stuff is slow enough that it takes minutes.	Just enough time to load up some Zelda and explore a little bit.	random
40	b1ayp8_83_2	Tested and it works fine for all situations.	I'd say go with that.		random
41	ddhxPI_29_0		So, i'm rewatching buffy, and was wondering if anyone knows which episode it is where buffy is running over the rooftops while the buildings are collapsing ?	I think it was a season finale ?	random
