rank	docno	pre	text	post	source
17	dwxr87_155_4	I also have to repeat what I'm going to order several times in my head before I actually order. ):	I usually get that reaction that you're talking about from others when I'm caught up in my own thoughts, and don't realize when someone is even speaking to me!	I think it's more awkward for my husband, though.	retrieval
18	5JRTdM_392_5	I can think them, but when I go to write them they sound so wrong and it drives me fucking nuts.	Even speaking I experience this problem but it's to a lesser extent and I can avoid it by simply not talking		retrieval
19	uC68yh_818_2	"I remembered a thing I can say to contribute to this conversation!"""	Additionally, I have a bit of an attention problem, and I know if they finish talking, I'll be so wrapped up in what they said that I'll forget what the thing was I was going to say. :	T	retrieval
20	EArCEv_19_8	Help soon been really struggling with extreme lack of focus.	Its too the point that I cant talk to someone for more than 10 seconds without completely missing what they are saying, no matter their importance.	*Edit: I have not taken Vyvanse in ~9 days*	retrieval
21	tIg8Wo_619_1	I know the feeling.	It's hard to keep up a conversation sometimes, because by the time I've planned out my response and considered all their possible responses in turn, the moment has passed.		retrieval
22	JD2JQY_43_1	I'm not sure where to begin, so I'll just throw some thoughts out here.	I've always been a bit socially awkward and my social skills have been improving lately, but I keep catching myself not being able to concentrate on conversations properly.	It's not that my mind just wanders off, I notice this too but it's not what I'm talking about here.	retrieval
23	JD2JQY_43_12	Edit: something else I've noticed is that when 2 conversations are going on, I have trouble focusing on just one.	I'll sometimes be listening to 1 conversation, then my mind suddenly shifts to the other without a reason and I have no idea what both conversations are about.		retrieval
24	LXWXXL_68_3	"And if I have gone to some social occasion where I was putting all my mental energy into being kind, likable, it is unbelievably frustrating to find out afterward that I ""should have done it this or that way"" I ""should not have done this or that"" because no mater how hard I try, something always happens and with the amount of care I try to put into my socializing, when other people find it easy, it does not seem fair."	I often have trouble when two people try to talk to me at the same time, and I panic because if I answer one person, that means I ignored the other!	And the one thing I never want to do to people is ignore them, because I can't stand being ignored myself.	retrieval
26	NVIenP_168_4	During the trip communicating with my friends was impossible.	Some one would start talking and I'd listen but then before I knew it I am following a different train of thought in my head.	"A couple minutes later my friends and I would realize that all of us are in our heads and not actually ""present""."	retrieval
27	XnmRA2_183_0		I talk too quietly too, but when people ask me what I said, I tend to repeat it at the same volume, despite trying to be louder.	Aggravating for both of us.	retrieval
28	XMGG6T_108_1	I do this.	I have some awful memory problems as well, and have to interrupt people RIGHT THEN and if I don't... I will forget what I was going to say.	It's awful because I'm convinced everyone thinks I'm just a rude motherfucker, but really if I don't interrupt you I'm going to spend my whole day trying to remember what I was thinking.	retrieval
29	JD2JQY_43_11	I just hope to get some advice here.	Edit: something else I've noticed is that when 2 conversations are going on, I have trouble focusing on just one.	I'll sometimes be listening to 1 conversation, then my mind suddenly shifts to the other without a reason and I have no idea what both conversations are about.	retrieval
30	CmT5Hz_162_0		I think sometimes just hearing the words makes you focus on what being said.	And often they do a separate recording/version for radio that will say something a little differently.	retrieval
31	ZAuZ9I_82_0		for me I can talk to people if it's just a conversation between us but if it's me and 2 other people I freeze up and go dead silent.		retrieval
32	7kDUEH_199_0		I admit, I wasn't always like this and it can be a struggle sometimes, especially when you have many ideas circling your head fighting for supremacy that are often more interesting then the conversation...	So, what changed?	retrieval
33	AdUu1Y_88_0		I'm sorry to hear that, I have some hearing loss that makes conversations hard to follow most of the time if there's any other noise, so I feel you.		retrieval
34	YkA5tJ_461_0		I think I'm getting better at listening...I've been working on it.	It's a constant struggle but rambling is a lost cause!	retrieval
35	gMqaCD_108_0		Every single one, but mostly when I'm speaking to only one person, or if I'm part of a group.	Also, crowds.	retrieval
37	CTtgxX_128_0		Yeah, when it happens to me, I start saying random syllables that aren't exactly words, or repeat short sentences that have nothing to do with the context that I'm in.		retrieval
38	dxn91V_4_3	It's sort of like being at a noisy bar and I'm trying to listen to someone speaking to me from far away.	Most of the time, I can't hear.	When I do hear, it takes great effort to understand, and then I'm still not sure I understood correctly.	retrieval
39	wLscCg_161_0		I have this issue, too, if I just try to sit there and listen -- but the point is to engage your body with something else, generally a mindless task.	That helps you concentrate on the story more, and makes the mindless task go by quicker.	retrieval
40	8nXuol_52_1	I believe it would all balance out with practice my friend.	When I think of something to say while being spoken to, I just relate the thought to a key word that I won't forget, that way if when its my turn to speak I can think of the key word which will remind me of my train of thought.	Maybe that could help?	retrieval
43	ymvhzy_183_23	I don't make a lot of moves for physical contact, and I'm thinking this makes women confused about my intentions.	I struggle to pick up on signals, because I get engrossed in the conversation.	I also struggle to know when to tell women how attractive they are, because I don't want to cross any lines.	retrieval
45	4hfgHY_548_5	It drives me crazy because whenever I try to record myself I think I'm off key even though I'm positive I'm not.	Almost like my brain doesn't hear what everyone else does.	And if it's going through a monitor live then it sounds fine.	retrieval
46	AxZPcV_260_0		Ya I have to be fully focused to understand what's going on, any distraction and I'm lost.		retrieval
47	oJ7SeW_608_6	My jaw always feels clenched and it's difficult for me to speak clearly.	I always seem to mumble.	Whenever I always search for solutions to release the anger or stress in my body, the same solutions always come up, such as exercise, doing yoga, smoke weed, etc.	retrieval
48	3smavi_18_0		No, I listen quite well.	Although, I may not be typical.	retrieval
39	fXwkPM_45_1	See, this gives me a lot to think of.	I'm not adopted, but my son is.	His bio-mom was on drugs, 16 and had a rough life.	random
40	dRqts8_511_2	I played with it when I got home last night, and everything is working great.	"I have a Roku 3 in my living room set as the default player, but was able to initiate commands to other rooms by saying ""Alexa, tell Plex to play Reservoir Dogs on my [Roku Stick]...[iPhone]...[PlayStation 4]"" Pretty impressive."		random
41	QZdHvI_304_0		Developer, and usually I play while waiting for things to load/compile because my stuff is slow enough that it takes minutes.	Just enough time to load up some Zelda and explore a little bit.	random
42	GIO9uS_485_0		I can put myself in your position if I read 'get busy' with the tone you took it as having.	You're imagining an intention which I did not have, however.	random
43	ddhxPI_29_0		So, i'm rewatching buffy, and was wondering if anyone knows which episode it is where buffy is running over the rooftops while the buildings are collapsing ?	I think it was a season finale ?	random
