rank	docno	pre	text	post	source
28	vOUR3Y_483_1	You need to be able to plan a day and for the average person in recovery from the blue spectrum, they probably had uninvolved parents and never had any expectation put upon them that they had to be busy at *something* even if it was leisure activities.	I don't keep a planner so much as I keep a journal (in a loose sense) that I just put everything I did into it- it started as a exercise / food tracker but grew from there.	"A ""good"" day fills more than half a page."	retrieval
29	FIbiau_41_2	I'm always seeing interesting stuff on IMDB but then forgetting what it was.	You are far more organized than I'll ever be.	I'm really looking forward to seeing the Carrie remake.	retrieval
30	BNGaY4_383_29	My lifes becoming a mess.	I'm getting extremely unorganized, starting to become forgetful.	I'm honestly really ashamed of even smoking and I want to quit for multiple reasons but the positives by far outweigh the negatives for me personally.	retrieval
31	ZBgXII_102_5	The one thing its lacks is an alarm for important stuff.	I want to start organizing it all on the computer but nothing seems to do it as good.	I don't want to have to operate 2-3 programs just to do it.	retrieval
32	nRkklv_383_0		Im a very messy person, I've left my stuff behind in places a bit too often(in the past, ive improved).	Almost everytime a good Samaritan ran after me, or gave it to lost and found, or a friend found it and took it with me.	retrieval
33	8UDL9g_1063_3	Writing has always been my strong suit, and in my procrastination days, it was amazing the amount of A+ papers I could churn out in a matter of hours.	Thankfully, I became much more organized in my college years.		retrieval
34	TS0Ku6_290_0		I've never been good at keeping tidy.	I clean when it gets past a certain point of messy then repeat the process.	retrieval
35	Y3DdK0_134_0		I've tried to be a really structured person, like planning my day to increments of 15 minutes even, but I can't do it.	For a lot of reasons.	retrieval
36	iHZzTI_24_2	I have a long list of things I want to change and achieve in my life, but unsure how I translate that into daily goals, weekly goals , monthly etc and how to keep track of it.	I am extremely disorganised		retrieval
37	qO1caw_5_1	Pretty sweet, although if I ever attempted that it'd get SOAKED in juice.	I've always been amazed how people manage keep their ecig organizers so damn clean, I just can't do it.		retrieval
38	G68gyk_39_1	My son does not take good care of items we get him and his fairly disorganized with them.	I am disorganized but take good care of stuff like my phone and computer.	He does not.	retrieval
39	DyzYRu_384_6	Find the limiting factor of getting things done (the machine, soaking, scraping) and focus on keeping that thing going all the time.	I have to keep telling myself as I try new things that it will be an unorganized shitshow that I'm always behind and lost for a few days.	Usually by the second day is already streamlined just enough to see the light.	retrieval
43	lXNGV7_107_4	"So each ""section"" had its own alphabetized stack, and the creative books had many stacks, all alphabetized."	Ah yes, I once was organized.	Maybe post-graduation in 3 weeks I will give myself the gift of reorganization.	retrieval
44	x5DDct_93_0		I use a planner, and the calendar on my phone for everything.	It's just that I have so much that it overwhelms me anyway.	retrieval
46	2nWFvn_284_4	Like my parents always kept the house spotless (they still do) and my mom never blamed her weight gain, eating habits or her slacking on the gym sometimes on me or my sister.	My sister and I definitely aren't the most organized people and we definitely made some huge messes when we were kids, but our parents would make us clean them up.	So many parents just refuse to discipline their kids and let them run wild and then complain that they can't control their kids.	retrieval
47	9JBVdu_276_4	I made an account on workflowy, and though I was a little skeptical at first, I'm already feeling a huge weight off my shoulders.	Getting organized wasn't ever a high priority for me, because I thought I was pretty organized.	I have a bunch of sticky pads with quotes covering my desktop, i've got a dozen to-do lists in google keep, i've got all sorts of documents on my laptop, computer, phone, and google drive.	retrieval
49	3smavi_117_19	Tick, tick, tick goes the clock.	Looking around at the bewildering mess I've created over the last week:  dirty dishes on the table, all sorts of crap on the floor, laundry hanging from the ceiling fans.	I've only got a couple hours left to get things cleaned up for your homecoming.	retrieval
50	VehSeV_194_4	They still do, but it helps me focus.	Making a plan for what you want/need done is something I started doing when I started my business, it really helps you get on track and get a visual on what needs doing.	Those are the only things I tried that help.	retrieval
37	fXwkPM_45_1	See, this gives me a lot to think of.	I'm not adopted, but my son is.	His bio-mom was on drugs, 16 and had a rough life.	random
38	YkSgMM_292_3	Sure.	I don't see a problem with consensually acting out sexual fantasies.	&gt;People dont care about consent if you cross a line with someone who is 1 foot out of the relationship style.	random
39	woagy1_59_0		My first 2 packs I ever bought... I'll never forget that day.	Computer search in the 1st pack and a Charizard in the 2nd.	random
40	5FX8Wi_305_2	Touchdown.	I never even thought of going to Foxboro and running 100 yards from 11 Super mutants and turning around to spike a mini nuke in their faces.	Jesus god the hype.	random
41	h6etl6_144_0		This is, by far, my favorite thing to tell my friends about this game.		random
