rank	docno	pre	text	post	source
14	QTbpt5_197_0		I usually have some sort of video or podcast on in the background at work because I find if it's too quiet, my mind wanders even faster.	To sleep, I usually put on my TV with a rerun of something I've already watched just so my brain can half-focus on that instead of jumping all over the plan and never letting me get any sleep.	retrieval
15	qaYGQn_376_4	I live in NYC, and catcalling here is really next level.	I wear noise-canceling headphones during my commute, but any time I forget them at home, I get slowly but surely more horrified throughout the day at the sheer quantity of awful shit yelled at me and whispered in passing.	Fun example from yesterday: my work requires me to go to bad neighborhoods regularly, and I was wearing a (respectable) pencil skirt while walking through Central Harlem.	retrieval
17	Ha9vAF_374_1	This shit happens to me every couple of days.	If I'm in my office even with the speakers off I can hear little chitters and bits of conversation.	Freaked me out for weeks.	retrieval
18	SMpP2z_120_0		I would love to be able to sit in another room while my coworkers talk about their personal lives, but I just put my headphones in and focus on work or whatever else I'm doing.	I don't see the point in being social with coworkers.	retrieval
20	LdhfGi_512_1	I try to do two things at once, and it helps increase the focus on my current task.	I have music playing when I'm working, but not the kind of music that requires my attention.	If what I'm doing is really boring, it must be classical or other music without words.	retrieval
21	T7xD5N_312_0		I'm grateful for my headphones and they're ability to help me focus on work		retrieval
23	SMpP2z_237_0		I'm someone that needs to hear ambient noise around me while I'm wearing headphones (at work) so I can hear my coworkers trying to talk to me or the phone ringing.	I currently have the X2's and I can only use one earbud because the noise cancellation is so great with them.	retrieval
24	UcUf18_87_0		Every time I do work with classical music in the background, it's very distracting because I frequently stop working to listen closer.	Especially with Bach.	retrieval
25	IbaStD_229_6	I decided to pick them up because I wanted an over-the-ear set of bluetooth headphones with noise canceling and they were sold out in every other Best Buy in Dallas.	I have a set of LG Tone Pro earbuds, which are awesome for working out and housework, but I don't like sitting with things in my ear canal all day while in my cubicle on an adderall induced work binge(development/analysis).	I understand that they are widely deemed overpriced, but are they good for this price?	retrieval
26	XbnWYL_89_3	If you answer yes to either or both these question then this is how it applies to you.	I am all about listen to music while working if it is allowed (use your smartphone).	I am all about taking care of personal stuff (use your break/lunch time).	retrieval
27	sg8JqI_154_1	While I am not a musician, your comment reflects my situation exactly.	I have often wondered why I cannot concentrate on my work and listen to music at the same time, and I think you have explained my situation perfectly.	I love to listen to the melody and harmonies, the key changes and other little nuances of music.	retrieval
30	xypRev_505_14	If you have any questions, feel free to PM me.	I work in live sound and have tried all different kinds of earplugs hahaha.		retrieval
31	bDIZlT_115_3	[Working in an open-plan office only makes it worse](http://www.forbes.com/sites/susanadams/2013/05/17/why-the-open-office-fails-and-a-solution/).	Headphones help me to isolate myself for a short while to work on one specific problem without interruption from office noise or people asking me questions.	My work is not super important, but I'm fairly sure my boss would like me to get work done as well as collaborate/socialize with coworkers.	retrieval
32	s55stc_182_0		I have a nice pair of headphones, it's just nice to have ambient music playing while I'm working without something on my head.		retrieval
34	R5bCxT_277_2	That being said I'm not sure what level of sound is acceptable.	Having closed back headphones makes the world disappear and I rarely hear my computer when I'm not actively doing something.	Loudest part of my rig is my GPU when fans are maxed (rarely) (EVGA GTX 780 SC ACX).	retrieval
38	kdkbme_888_2	8 hours a day of listening to whatever I want and reading science.	Current job as lab technician, I can wear earbuds anywhere in the lab, but when we go out to sites we cannot as there may be heavy vehicles.		retrieval
39	F9rALt_124_0		Headphones are banned at my workplace as well.	Grab a 35 dollar blue tooth headset with A2DP, that will allow you to play back audio through it, now I have all  the music and podcasts I can handle!	retrieval
41	Tr89zT_36_2	I was just wondering because a lot of the people in here are commenting on their social lives which seems very similar to mine.	Also the loud noises tend to overwhelm me if I'm in a bar or loud area and I tend to sputter off and have a much harder time talking to people.		retrieval
42	Hl3moM_4_30	I have a bunch of computers acting as servers and parts and it's hard to organize all of it.	If I keep the limit of things around me to a min the less I get distracted by all the things I need to do that aren't as high a priority as work.	There's probably some i'm not thinking of.	retrieval
43	qaYGQn_273_9	I'm able to brush off most of the comments and for the most part, it doesn't affect me at all anymore, but shit is bananas.	On the bright side, headphones are a semi-effective way of blocking it out, so I've got that going for me, which is nice.	Edit: Thank you for the gold, kind stranger!	retrieval
44	9XBfyw_385_2	They really should look into that.	Trying to listen on speakers while I do other stuff but also not disturb my flatmates, kind of hard when sometimes you can barely hear and other times it's booming.	Good episode though.	retrieval
46	zp58Ks_85_2	Seems like my brain is on autopilot most of the day =/	I've also noticed having music constantly playing in the background makes this worse, almost drowns my internal thoughts.		retrieval
47	vW2wRq_434_1	haha anytime.	I find it surprisingly helpful in focusing at work and tuning out the office chatter.		retrieval
48	qfeo5P_216_2	I listen to music and podcasts daily.	I also want something that will drown the office noise	Im tired of earbuds breaking on me, so build quality is important, i want headphones that will last 5 or more years and im overwhelmed by the information.	retrieval
49	ZQUDOR_167_0		I use headphones and on busier days I just have to turn it to peaceful so I don't jump too much with creepers.		retrieval
39	6SZ9cj_88_2	It does look sort of fun.	My acne is mild as well so this product might work well for me.		random
40	GIO9uS_485_0		I can put myself in your position if I read 'get busy' with the tone you took it as having.	You're imagining an intention which I did not have, however.	random
41	HIzoc5_126_2	She is a very shy rabbit and does not explore much, unlike my other rabbit.	Every time I wipe down the cage floor or slide my hand towards her she attacks my hand.	She does not do this when I reach out and pet her.	random
42	woagy1_59_0		My first 2 packs I ever bought... I'll never forget that day.	Computer search in the 1st pack and a Charizard in the 2nd.	random
43	QZdHvI_304_0		Developer, and usually I play while waiting for things to load/compile because my stuff is slow enough that it takes minutes.	Just enough time to load up some Zelda and explore a little bit.	random
