rank	docno	pre	text	post	source
44	Y0xPnR_46_1	Oh man, I understand all of this.	I blurt things out that are completely out of context because my brain just connects things/dots.	My humor is very dark and dry...and unfortunately, quite non-PC as well 😂	retrieval
45	4aECCK_264_1	Just not talking and try not to draw attention.	Half time when talking I'll say something that I regret whether it's a minor mistake or not and obsess over it.	It's an uncomfortable feeling and you never feel more alone.	retrieval
46	8nXuol_495_2	I used to have a bad stutter as a kid and I remember noticing it.	I didn't know that it was unusual, but I remember waiting for the stutter to end before what I was trying to say actually came out.	What do you think of your speech impediment once you hear it on recording?	retrieval
47	afbbGI_198_1	I've tried this on many occasions.	Surprisingly large  percentage of the population seem to only be fluent in ten word sentences or smaller, and I end up carrying the whole conversation.	I've learned to not invest much energy to those kinds of people.	retrieval
48	UpzyfD_331_2	I think it's part intuitive, but also part just being super observant and finding patterns in behavior.	Especially in a work environment, I can usually tell what people are going to say before they even start.	I hate finishing other people's sentences for them, but I normally can.	retrieval
49	6mD5qO_4_1	How long did it take to become natural?	"I ask myself ""is this appropriate to say"" whenever I remember (which tends to be when I'm NOT excitedly and enthusiastically socializing)."	I still think it sounds right, and say it.	retrieval
50	7zcB1M_165_0		"When I think to myself, ""I just thought this"" then going on to ""I just thought about thinking about that"" and so on..."		retrieval
43	TUM3wB_599_5	I try to only get my carbs from veggies and fruits, but I do have rice every day (brown, multi-grain of course).	Carbs are my weakness but atleast they don't make me break out!		random
44	fXwkPM_45_1	See, this gives me a lot to think of.	I'm not adopted, but my son is.	His bio-mom was on drugs, 16 and had a rough life.	random
45	etBLvk_435_0		I once was able to lick my dick, it wasn't that great, had to sort of ouch my dick up and force my head down with my other hand.	Wouldn't recommend.	random
46	woagy1_59_0		My first 2 packs I ever bought... I'll never forget that day.	Computer search in the 1st pack and a Charizard in the 2nd.	random
47	3HGS13_170_1	Local laws prohibit them on ANY public property.	So, I always yank 'em during elections whenever I see them on public land.	It's great for shooting AND it pisses the people who put them there off.	random
