rank	docno	pre	text	post	source
23	Po1Aok_7_1	Hey guys, just wondering how you guys stay engaged with Stoicism day-to-day.	I often find myself intensely engaged for a few days, and then I get distracted by life for a few days.	What parts of Stoicism do you incorporate into your daily lives to remain focused?	retrieval
24	emG7l7_51_1	I take my meds on a daily basis purely because of driving, even when I'm not in school.	But I'm similar to you, although I do have my hyper days depending on my environment, for example, if I'm hanging out with a lot of friends when my meds wear off, I'm practically bouncing off the walls, but if I'm at home by myself, it's a lot different.	My mind tends to go off in tangents like you described, and that exact situation happened to me that you described, Arizona and all.	retrieval
25	iyr7zX_331_8	Another weird thing about this drug: I find the effects so fucking variable.	Like the daydream thing I mentioned has been huge today, but there have been other days dominated by a strong urge to be productive, have sex, etc.	Man call me crazy but it almost reminds me of a psychedelic a little.	retrieval
26	v5KPbp_142_2	I like being the fun person, but I'm also the person that tends to make all the plans and kind of force everyone to get up and *do something*.	I go crazy if I'm in one place for too long.	Smoking doesn't work for me... it just makes me sleepy.	retrieval
27	GTiTxg_72_0		I used to be similar to this, not quite on this level though.	Just remember allstars put up 2 for 11 more than you think.	retrieval
28	R8uEU1_46_2	Wow, people give weird advice, don't they?	I have the same thing with exercise.	I used to jog between 3-5 miles in 25-45 minutes and people would always talk about living for the 'runner's high'.	retrieval
29	NxIG97_382_0		I've found that I obsess excessively about positive things(working out) in asimilar way I did about negative things (like drinking).		retrieval
31	VS9P6y_24_5	The whole calling back and hanging out thing.)	I just busy myself with other things, such as projects or video games and sometimes I even forget to take care of myself I dive so deep into what I'm doing. (	I sometimes won't eat or sleep for days until I'm comfortable with the progress of what I'm doing.)	retrieval
32	IGNSFu_294_0		It's just things that I notice need to be done that aren't immediately necessary, but that can sort of snowball if I'm not staying on top of them.	Right now I'm just studying like crazy for an exam tomorrow, but after that I'll probably make an effort to 1) schedule an appointment with the orthodontist, 2) finish organizing my stuff since I just moved, 3) finish reading the next chapter in my meditation guide, 4) start the future authoring program, and I'm not sure what #5 will be.	retrieval
33	JUUFYW_634_2	It's like a full-body compulsion, too -- my dad was severely abusive to me as a child, and I basically flung myself at his feet to make him love me, which has someone trained me to please people who do and say hurtful things to me as an adult.	It feels like I'm driven by a motor sometimes.		retrieval
34	fzCroN_30_0		When I'm trying to do something productive.		retrieval
35	hwFaDz_74_3	I personally just don't get stressed out about things.	I feel part of that is by nature, since I have never been like that for as long as I can remember, but it's also a mind over matter type situation.		retrieval
36	Npe2J9_625_1	This happens to me every day when I'm driving to work.	I get a burst of motivation to do all sorts of things like read books and organize my life and make to-dos.	"I think ""I'll get started when I get to work!"""	retrieval
37	ArFWtw_94_5	1.	I never stay in one place for long, I am always on the move constantly.	2.	retrieval
38	q8mMuL_959_2	Did you experience a feeling of release after?	Some kinds of stimulation give me a good-bad-too much feeling that's similar to what it sounds like you're describing.		retrieval
39	s4zg1X_49_2	Severe A.D.D. no hyperactivity but ability to concentrate on anything that does not engage hyperfocus symptoms is limited to mere minutes.	I multi-task by doing lots of things one at a time in a cycle until things get completed by inertia.	Almost anything acts as a diversion distracting me.	retrieval
40	n16Fv9_220_1	I whistle or sing to myself all the time and it's rare for me to be doing nothing.	I am as fidgety as a squirrel monkey.		retrieval
41	QN5OVp_108_2	That he feels numb and like he needs to do something in order to feel something.	I get like that but the opposite I think, there have been like 2 or 3 times when I was overwhelmed to the point of moving away and I did.		retrieval
42	ujjoZ2_52_28	"I forget my original plan and instead get all of these ""great ideas""."	I switch from task to task until I get burnt out.	After that I need a nap and waste hours trying to get my energy back.	retrieval
43	ubIV1t_54_0		I am also a compulsive inner-voice-chatter-thinker.	"I talked about this ""inner voice"" to my girlfriend and she was like ""wait, what now again?""."	retrieval
44	P4snm9_53_14	Those tendencies affected every aspect of my life and while it's gotten a bit better in some areas, it's still a big problem in others.	Part of it comes from having to drop what I'm doing all of the time because something more important came up, and the other is my brain's dreadful processing.	"Understandably, these habits really piss my partner off and even if it's something ""I can't help,"" it isn't fair on people who have to deal with me."	retrieval
46	2yzZCt_232_31	I keep saying I want to do something but I have no clue what the fuck that something is, I honestly think I'm just too miserable to even enjoy myself doing fun things.	my brain doesn't work well enough to what exactly it is I even want to do, all I know is that I need more stimulus than what I'm getting from sitting around or I think I'm going to actually explode.	.	retrieval
47	DMM2Vl_72_6	Staying with my sister has been a great distraction and yet underneath it feels like a volcano is slowly about to erupt.	"All the sensations, emotions, earnings feel as if they just might rise up with each day that passes that I try my best to ""stay busy."""	My solace is reading fiction and practicing presence as best as I can.	retrieval
48	fFaDx3_459_0		I get a slight dopamine rush from crossing things off lists.	If I put it on a list, eventually I'll do it.	retrieval
49	lVZIkn_437_1	i finally feel like i'm getting into the rhythm at work.	I think i may have taken on a bit too much as i'm always rushing to get things done but it makes the day pass quicker so i like it.	I've been feeling generally unsatisfied with my work as i feel like i'm not contributing anything positive to the world and my degree would be much more appreciated back home in Sudan but i'm afraid to leave the comfort and stability that i have here.	retrieval
50	bLVk9g_341_1	Plot twist: she enjoys watching me play it.	I don't take my adderall when I'm home, so I get all over the place doing random things.	I can only imagine what I'll wind up doing with the mods available.	retrieval
41	etBLvk_435_0		I once was able to lick my dick, it wasn't that great, had to sort of ouch my dick up and force my head down with my other hand.	Wouldn't recommend.	random
42	ddhxPI_29_0		So, i'm rewatching buffy, and was wondering if anyone knows which episode it is where buffy is running over the rooftops while the buildings are collapsing ?	I think it was a season finale ?	random
43	weTf2T_207_0		We want to make our lord and savior MaryJ acceptable in the eyes of the masses, but I see this as a tiny step backward,		random
44	QZdHvI_304_0		Developer, and usually I play while waiting for things to load/compile because my stuff is slow enough that it takes minutes.	Just enough time to load up some Zelda and explore a little bit.	random
45	dRqts8_511_2	I played with it when I got home last night, and everything is working great.	"I have a Roku 3 in my living room set as the default player, but was able to initiate commands to other rooms by saying ""Alexa, tell Plex to play Reservoir Dogs on my [Roku Stick]...[iPhone]...[PlayStation 4]"" Pretty impressive."		random
