rank	docno	pre	text	post	source
27	t59V2b_664_0		I prep for meetings all the time where once I leave the meeting, I can forget 90% of what I had just prepared.	My ability that I learned in school to cram has come in quite handy.	retrieval
28	KCePHE_360_1	As a man.	Yes it is very hard to remember but i dont wear sandals and i set an alarm on my phone for once a week haha.		retrieval
29	ic9dc9_36_1	Woman here.	Yes I wear a wristwatch every day, but ironically enough, today I forgot to put it on.	I felt naked once I realized it.	retrieval
30	qRTCVw_214_4	Personally, it doesn't bother me when someone doesn't move their weights... I work out a lot, and 95% of the time I rack my own weights, and I would be a little annoyed if some gym newb chastised me the one time out of 20 I didn't.	I figure it all comes out in the wash -- I forget sometimes, and I occasionally clean up after other people who forget.	But if you ever feel like someone's not cleaning up after themselves, try asking them politely first.	retrieval
31	aPqwJq_43_1	I was hoping there was another update.	It seems like the reminders are buggy for me and notifying me at wrong times or days later.	Never had this issue before.	retrieval
32	kQVl1S_143_1	Thank you a million times over for this.	I am going to start doing this as a check and hopefully it will helo me cover up my weaknesses and prevent me from forgetting tasks i need to do!		retrieval
33	Y0xPnR_642_4	"I fall more into the ""over indulgence"" inferior Se stress manifestation category (drinking, smoking, overeating)."	I am usually forgetful when it comes to eating and peeing.	I sit weird and sometimes I won't even notice that my limbs have fallen asleep until I try to move.	retrieval
34	5W3ib8_47_3	and out of bed.	Never set alarms but I have never missed a flight or been late for work any time other than when I have decided to be.		retrieval
35	PS0XRD_856_3	We camp together a lot in locations with no cell signal and 1+ hour from hospitals.	I sometimes worry that the day they need it will be the day they forgot it.	I'd like to have one in my first aid kit.	retrieval
36	yymUlT_703_1	Thanks!	I forget a lot of the time because I get excited haha		retrieval
37	cpLk9M_336_4	I have no idea how many classes I've signed up for.	I cannot remember my schedule, I don't have a print out of it, I don't have a dayplanner, PDA, notebook, nothing.	Perhaps the most maddening part is that I have no idea were to go to get a new copy of it.	retrieval
38	dG82nV_35_5	I deeply regretted not trying harder in high school and college and not realizing what a gift that learning is (oh the things we wish we could tell our younger selves!)	I also forget things easily.	But I am pretty well spoken, work really hard at everything, always seek to make improvements, and treat every experience as a learning opportunity.	retrieval
39	oUpsSi_594_0		Yeah, I'm trying to write things down but then have a bad habit of not looking at the paper/planner again.	I admit that it would be nice if my husband would help me out.	retrieval
41	mhvJ3E_224_3	It's actually probably not that I *forget*, it's that I'm not paying attention in the first place.	If I'm paying attention then I am very unlikely to forget.		retrieval
43	UO3lvg_46_6	It's interesting you bring up lateness.	Mine used to be excessively punctual but go over it for some reason.	Now he's super pedantic about how it's not a big deal to be late.	retrieval
45	hIQyD9_230_1	The possibility of this happening scares the crap out of me.	I have to take a handful of pills every morning and if they're *not* where I can see them I'll forget.	If I leave them on the kitchen bench (where my little one cant reach) the cats will play with them and knock them on the floor (sometimes they're there, sometimes they're no where to be found)	retrieval
46	fyO2tv_142_9	I've just lost the motivation to eat right because it's inconvenient.	My lunch time dilemma is because I keep forgetting, putting a note on the door isn't going to work because like I said my partner works nights, and he would come home and take it off, or it would fall off (it would have to be a sticky note and we all know how crap the stick :L) I'm not making excuses, if I was, I wouldn't bother writing this post.	And I've already taken in everyone else's advise.	retrieval
47	PXK2R2_96_7	Enforcing consequences is  difficult because I can be pretty disorganized.	If I can't find a detention slip, for example, and I'm in the middle of a lesson, I tell myself I'll look for it when the kids do their independent work ... and by that time I've completely forgotten about the stupid slip.	My advice to you -- and this is one of the things I'm working on myself this summer -- is to develop a very, very simple and straightforward management plan, and keep as much of it on the computer as you possibly can (no searching for detention slips or call logs or whatever).	retrieval
48	U3u5vc_381_0		No, I keep on forgetting.		retrieval
49	oeWyU8_79_1	Sorry if I go on a tangent and it's not direct advice for this particular problem- but thought maybe I'd throw in my 2 pesos.	First of all, I'm not one to forget these days that much, shit- I even have all my passwords ending in my SO's month/day to ensure I dont forget it.	"That being said, I actually hate all these ""important"" dates."	retrieval
50	cuAlMk_97_1	I think we've all been there in some way or another.	Mine mostly involve forgetting about food in the oven that i devoured 15 minutes ago.		retrieval
46	3HGS13_170_1	Local laws prohibit them on ANY public property.	So, I always yank 'em during elections whenever I see them on public land.	It's great for shooting AND it pisses the people who put them there off.	random
47	NqRoXm_433_2	Well done with ketchup.	I can't stand Barack Obama but I bet he knows not to eat a steak well done and then kill it with ketchup.		random
48	woagy1_59_0		My first 2 packs I ever bought... I'll never forget that day.	Computer search in the 1st pack and a Charizard in the 2nd.	random
49	TUM3wB_599_5	I try to only get my carbs from veggies and fruits, but I do have rice every day (brown, multi-grain of course).	Carbs are my weakness but atleast they don't make me break out!		random
50	HIzoc5_126_2	She is a very shy rabbit and does not explore much, unlike my other rabbit.	Every time I wipe down the cage floor or slide my hand towards her she attacks my hand.	She does not do this when I reach out and pet her.	random
